drop_file,min_distance_km,max_distance_km,note
D20230804_120343_PQC.nc,121.32,121.32,
D20230806_224440_PQC.nc,3012.40,3016.08,
D20230806_225928_PQC.nc,2998.47,3004.13,
D20230806_231405_PQC.nc,3004.79,3010.56,
D20230806_232526_PQC.nc,3142.91,3148.71,
D20230806_233705_PQC.nc,3289.30,3295.13,
D20230806_234846_PQC.nc,3435.85,3441.15,
D20230807_000016_PQC.nc,3582.36,3586.69,
D20230807_001118_PQC.nc,3722.67,3727.43,
D20230807_002235_PQC.nc,3777.71,3782.06,
D20230807_003340_PQC.nc,3645.72,3650.06,
D20230807_004522_PQC.nc,3499.54,3504.84,
D20230807_005726_PQC.nc,3354.03,3360.28,
D20230807_010820_PQC.nc,3226.22,3231.49,
D20230807_011938_PQC.nc,3295.36,3301.55,
D20230807_013126_PQC.nc,3432.05,3438.27,
D20230807_014344_PQC.nc,3574.89,3581.13,
D20230807_015615_PQC.nc,3719.06,3724.85,
D20230807_020808_PQC.nc,3857.32,3864.08,
D20230807_021944_PQC.nc,3921.57,3927.82,
D20230807_023040_PQC.nc,3792.93,3799.16,
D20230807_024208_PQC.nc,3650.98,3656.24,
D20230807_025340_PQC.nc,3509.14,3515.32,
D20230807_030438_PQC.nc,3386.29,3392.07,
D20230807_031556_PQC.nc,3464.36,3470.44,
D20230807_032818_PQC.nc,3599.04,3605.16,
D20230807_034124_PQC.nc,3737.88,3743.10,
D20230807_035424_PQC.nc,3877.94,3883.20,
D20230807_040702_PQC.nc,4020.79,4026.06,
D20230807_041817_PQC.nc,4088.20,4093.80,
D20230807_042956_PQC.nc,3960.14,3966.28,
D20230807_044144_PQC.nc,3824.00,3830.10,
D20230807_050522_PQC.nc,3551.81,3557.56,
D20230807_051706_PQC.nc,3418.61,3425.21,
D20230807_052842_PQC.nc,3287.04,3292.92,
D20230807_053631_PQC.nc,3194.02,3199.94,
D20230807_111658QC.nc,3047.04,3050.33,
D20230807_113444QC.nc,3184.88,3188.19,
D20230807_115416QC.nc,3342.94,3346.28,
D20230807_121333QC.nc,3502.31,3506.59,
D20230807_123233QC.nc,3660.58,3663.38,
D20230807_134412QC.nc,3113.45,3117.70,
D20230807_140803QC.nc,3030.19,3035.41,
D20230807_144410QC.nc,3334.45,3340.23,
D20230807_150124QC.nc,3491.36,3496.64,
D20230807_151818QC.nc,3641.51,3646.81,
D20230807_155352QC.nc,3408.56,3413.86,
D20230807_161142QC.nc,3240.73,3246.02,
D20230807_162813QC.nc,3081.60,3086.87,
D20230807_170118QC.nc,2764.79,2770.53,
D20230807_171656QC.nc,2848.92,2853.18,
D20230807_173058QC.nc,2939.59,2944.74,
D20230807_180808QC.nc,3058.29,3059.81,
D20230807_181108QC.nc,3048.91,3050.43,
D20230807_224137_PQC.nc,3376.67,3382.30,
D20230807_231828_PQC.nc,3741.29,3748.53,
D20230807_233410_PQC.nc,3934.95,3944.13,
D20230807_234942_PQC.nc,4127.64,4136.82,
D20230808_000536_PQC.nc,4324.49,4527.36,
D20230808_002118_PQC.nc,4520.04,4528.34,
D20230808_003649_PQC.nc,4711.13,4719.00,
D20230808_005305_PQC.nc,4790.56,4799.36,
D20230808_010812_PQC.nc,4606.95,4617.18,
D20230808_012420_PQC.nc,4412.04,4422.72,
D20230808_013958_PQC.nc,4234.20,4245.35,
D20230808_015502_PQC.nc,4331.83,4341.49,
D20230808_021038_PQC.nc,4517.28,4528.45,
D20230808_022653_PQC.nc,4711.20,4720.92,
D20230808_024257_PQC.nc,4900.58,4909.35,
D20230808_025858_PQC.nc,4993.32,5001.54,
D20230808_031422_PQC.nc,4815.82,4823.60,
D20230808_033043_PQC.nc,4625.20,4634.45,
D20230808_034703_PQC.nc,4436.28,4444.94,
D20230808_040733_PQC.nc,4175.68,4181.87,
D20230808_044008_PQC.nc,3762.40,3768.93,
D20230808_045752_PQC.nc,3550.81,3557.28,
D20230814_215535_PQC.nc,213.39,215.60,
D20230814_225201_PQC.nc,217.40,217.40,
D20230814_234008_PQC.nc,219.04,220.15,
D20230821_174208_PQC.nc,2088.97,2090.51,
D20230821_181532_PQC.nc,2080.52,2080.52,
D20230821_184506_PQC.nc,1855.72,1856.48,
D20230821_192356_PQC.nc,2080.22,2080.22,
D20230821_194400_PQC.nc,2100.41,2101.21,
D20230821_201422_PQC.nc,2103.09,2104.62,
D20230821_203940_PQC.nc,1927.69,1929.30,
D20230821_211250_PQC.nc,2034.62,2035.42,
D20230821_220409_PQC.nc,2153.42,2154.97,
D20230821_222224_PQC.nc,2074.12,2075.66,
D20230821_223545_PQC.nc,2001.14,2001.14,
D20230821_224310_PQC.nc,1963.45,1964.27,
D20230822_053249_PQC.nc,1869.05,1873.09,
D20230822_054057_PQC.nc,1893.20,1897.96,
D20230822_054729_PQC.nc,1912.79,1916.70,
D20230822_055450_PQC.nc,1938.22,1940.43,
D20230822_060207_PQC.nc,1966.64,1969.12,
D20230822_060811_PQC.nc,1980.44,1983.69,
D20230822_062419_PQC.nc,1780.01,1783.36,
D20230822_063142_PQC.nc,1843.74,1845.36,
D20230822_064007_PQC.nc,1917.98,1921.06,
D20230822_064913_PQC.nc,2000.78,2006.14,
D20230822_065640_PQC.nc,2095.19,2102.08,
D20230822_071657_PQC.nc,2234.60,2240.10,
D20230822_075734_PQC.nc,1868.14,1872.11,
D20230822_080450_PQC.nc,1781.78,1785.69,
D20230822_081248_PQC.nc,1682.63,1685.86,
D20230822_160602_PQC.nc,2035.50,2036.28,
D20230822_161955_PQC.nc,1936.51,1937.28,
D20230822_163222_PQC.nc,1847.84,1849.38,
D20230822_164559_PQC.nc,1746.45,1748.75,
D20230822_165126_PQC.nc,1705.89,1707.40,
D20230822_172206_PQC.nc,1840.10,1840.97,
D20230822_185234_PQC.nc,1781.14,1781.14,
D20230822_200412_PQC.nc,1925.75,1926.53,
D20230822_202849_PQC.nc,1850.64,1852.06,
D20230822_204022_PQC.nc,1781.74,1783.27,
D20230822_210616_PQC.nc,1900.85,1902.36,
D20230823_155720_PQC.nc,1659.36,1660.13,
D20230823_161550_PQC.nc,1761.72,1762.75,
D20230823_163448_PQC.nc,1874.01,1876.00,
D20230823_165328_PQC.nc,1948.05,1951.40,
D20230823_170538_PQC.nc,1907.26,1909.88,
D20230823_171958_PQC.nc,1792.19,1794.79,
D20230823_173436_PQC.nc,1670.94,1674.07,
D20230823_175034_PQC.nc,1556.35,1557.24,
D20230825_135841QC.nc,1726.94,1729.20,
D20230825_135841_PQC.nc,1726.94,1729.20,
D20230825_142325_PQC.nc,1791.10,1793.02,
D20230825_144026_PQC.nc,1892.07,1895.86,
D20230825_145646_PQC.nc,2009.53,2013.21,
D20230825_151404_PQC.nc,2018.37,2020.28,
D20230825_152953_PQC.nc,1906.20,1908.11,
D20230825_154630_PQC.nc,1785.43,1787.35,
